x1.16xlarge,64,174.5,976,1 x 1920 SSD,9.671
x1.32xlarge,128,349,1952,2 x 1920 SSD,19.341
x1e.xlarge,4,12,122,1 x 120 SSD,1.209
x1e.2xlarge,8,23,244,1 x 240 SSD,2.418
x1e.4xlarge,16,47,488,1 x 480 SSD,4.836
x1e.8xlarge,32,91,976,1 x 960 SSD,9.672
x1e.16xlarge,64,179,1952,1 x 1920 SSD,19.344
x1e.32xlarge,128,340,3904,2 x 1920 SSD,38.688
r5.large,2,10,16,EBS only,0.152
r5.xlarge,4,19,32,EBS only,0.304
r5.2xlarge,8,38,64,EBS only,0.608
r5.4xlarge,16,71,128,EBS only,1.216
r5.12xlarge,48,173,384,EBS only,3.648
r5.24xlarge,96,347,768,EBS only,7.296
r5d.large,2,10,16,1 x 75 NVMe SSD,0.174
r5d.xlarge,4,19,32,1 x 150 NVMe SSD,0.348
r5d.2xlarge,8,38,64,1 x 300 NVMe SSD,0.696
r5d.4xlarge,16,71,128,2 x 300 NVMe SSD,1.392
r5d.12xlarge,48,173,384,2 x 900 NVMe SSD,4.176
r5d.24xlarge,96,347,768,4 x 900 NVMe SSD,8.352
r4.large,2,7,15.25,EBS only,0.16
r4.xlarge,4,13.5,30.5,EBS only,0.32
r4.2xlarge,8,27,61,EBS only,0.64
r4.4xlarge,16,53,122,EBS only,1.28
r4.8xlarge,32,99,244,EBS only,2.56
r4.16xlarge,64,195,488,EBS only,5.12
z1d.large,2,15,16,1 x 75 NVMe SSD,0.227
z1d.xlarge,4,28,32,1 x 150 NVMe SSD,0.454
z1d.2xlarge,8,53,64,1 x 300 NVMe SSD,0.908
z1d.3xlarge,12,75,96,1 x 450 NVMe SSD,1.362
z1d.6xlarge,24,134,192,1 x 900 NVMe SSD,2.724
z1d.12xlarge,48,271,384,2 x 900 NVMe SSD,5.448